Test  | A*        | A* time   | A* len    | D* Lite   | D* time   | D* len    
---------------------------------------------------------------------------------
1     | Path found| 0.391     | 34        | Path found| 0.663     | 34        
2     | Path found| 0.166     | 42        | Path found| 0.880     | 42        
3     | Path found| 0.147     | 31        | Path found| 0.749     | 31        
4     | Path found| 0.103     | 24        | Path found| 0.447     | 24        
5     | Path found| 0.158     | 50        | Path found| 1.592     | 50        
6     | Path found| 0.039     | 23        | Path found| 0.181     | 23        
7     | Path found| 0.036     | 11        | Path found| 0.160     | 11        
8     | Path found| 0.142     | 47        | Path found| 1.278     | 47        
9     | Path found| 0.032     | 8         | Path found| 0.144     | 8         
10    | Path found| 0.155     | 33        | Path found| 0.729     | 33        
11    | Path found| 0.102     | 34        | Path found| 0.575     | 34        
12    | Path found| 0.089     | 26        | Path found| 0.439     | 26        
13    | Path found| 0.348     | 55        | Path found| 1.531     | 55        
14    | Path found| 0.096     | 34        | Path found| 0.824     | 34        
15    | Path found| 0.189     | 40        | Path found| 0.983     | 40        
16    | Path found| 0.110     | 35        | Path found| 0.607     | 35        
17    | Path found| 0.211     | 43        | Path found| 0.658     | 43        
18    | Path found| 0.097     | 34        | Path found| 0.518     | 34        
19    | Path found| 0.271     | 48        | Path found| 1.233     | 48        
20    | Path found| 0.076     | 21        | Path found| 0.285     | 21        
21    | Path found| 0.037     | 9         | Path found| 0.155     | 9         
22    | Path found| 0.047     | 15        | Path found| 0.290     | 15        
23    | Path found| 0.118     | 32        | Path found| 0.685     | 32        
24    | Path found| 0.057     | 16        | Path found| 0.161     | 16        
25    | Path found| 0.180     | 44        | Path found| 1.063     | 44        
26    | Path found| 0.063     | 18        | Path found| 0.304     | 18        
27    | Path found| 0.064     | 18        | Path found| 0.329     | 18        
28    | Path found| 0.094     | 42        | Path found| 0.428     | 42        
29    | Path found| 0.053     | 19        | Path found| 0.187     | 19        
30    | Path found| 0.057     | 19        | Path found| 0.273     | 19        
31    | Path found| 0.043     | 14        | Path found| 0.200     | 14        
32    | Path found| 0.256     | 49        | Path found| 0.542     | 49        
33    | Path found| 0.192     | 35        | Path found| 0.863     | 35        
34    | Path found| 0.077     | 30        | Path found| 0.371     | 30        
35    | Path found| 0.277     | 49        | Path found| 0.898     | 49        
36    | Path found| 0.104     | 27        | Path found| 0.301     | 27        
37    | Path found| 0.024     | 3         | Path found| 0.112     | 3         
38    | Path found| 0.155     | 62        | Path found| 2.188     | 62        
39    | Path found| 0.042     | 13        | Path found| 0.208     | 13        
40    | Path found| 0.036     | 10        | Path found| 0.162     | 10        
41    | Path found| 0.032     | 10        | Path found| 0.148     | 10        
42    | Path found| 0.259     | 50        | Path found| 1.443     | 50        
43    | Path found| 0.070     | 26        | Path found| 0.355     | 26        
44    | Path found| 0.165     | 35        | Path found| 0.844     | 35        
45    | Path found| 0.085     | 24        | Path found| 0.486     | 24        
46    | Path found| 0.153     | 40        | Path found| 1.066     | 40        
47    | Path found| 0.057     | 28        | Path found| 0.355     | 28        
48    | Path found| 0.029     | 6         | Path found| 0.143     | 6         
49    | Path found| 0.045     | 14        | Path found| 0.261     | 14        
50    | Path found| 0.056     | 17        | Path found| 0.273     | 17        
51    | Path found| 0.124     | 35        | Path found| 0.670     | 35        
52    | Path found| 0.025     | 4         | Path found| 0.129     | 4         
53    | Path found| 0.161     | 44        | Path found| 1.126     | 44        
54    | Path found| 0.200     | 50        | Path found| 1.490     | 50        
55    | Path found| 0.062     | 19        | Path found| 0.303     | 19        
56    | Path found| 0.072     | 21        | Path found| 0.330     | 21        
57    | Path found| 0.100     | 41        | Path found| 0.904     | 41        
58    | Path found| 0.112     | 34        | Path found| 0.777     | 34        
59    | Path found| 0.124     | 28        | Path found| 0.624     | 28        
60    | Path found| 0.100     | 30        | Path found| 0.594     | 30        
61    | Path found| 0.073     | 30        | Path found| 0.328     | 30        
62    | Path found| 0.153     | 50        | Path found| 1.548     | 50        
63    | Path found| 0.128     | 48        | Path found| 0.828     | 48        
64    | Path found| 0.058     | 17        | Path found| 0.228     | 17        
65    | Path found| 0.114     | 40        | Path found| 0.793     | 40        
66    | Path found| 0.032     | 7         | Path found| 0.138     | 7         
67    | Path found| 0.044     | 12        | Path found| 0.217     | 12        
68    | Path found| 0.231     | 49        | Path found| 1.340     | 49        
69    | Path found| 0.094     | 40        | Path found| 0.384     | 40        
70    | Path found| 0.126     | 41        | Path found| 0.622     | 41        
71    | Path found| 0.178     | 46        | Path found| 1.025     | 46        
72    | Path found| 0.081     | 23        | Path found| 0.416     | 23        
73    | Path found| 0.138     | 44        | Path found| 1.247     | 44        
74    | Path found| 0.104     | 38        | Path found| 0.696     | 38        
75    | Path found| 0.071     | 25        | Path found| 0.398     | 25        
76    | Path found| 0.161     | 37        | Path found| 0.885     | 37        
77    | Path found| 0.053     | 15        | Path found| 0.241     | 15        
78    | Path found| 0.044     | 17        | Path found| 0.192     | 17        
79    | Path found| 0.070     | 30        | Path found| 0.312     | 30        
80    | Path found| 0.062     | 15        | Path found| 0.272     | 15        
81    | Path found| 0.073     | 28        | Path found| 0.450     | 28        
82    | Path found| 0.207     | 47        | Path found| 1.290     | 47        
83    | Path found| 0.095     | 31        | Path found| 0.698     | 31        
84    | Path found| 0.089     | 43        | Path found| 0.433     | 43        
85    | Path found| 0.083     | 31        | Path found| 0.435     | 31        
86    | Path found| 0.324     | 48        | Path found| 1.385     | 48        
87    | Path found| 0.027     | 4         | Path found| 0.129     | 4         
88    | Path found| 0.040     | 16        | Path found| 0.208     | 16        
89    | Path found| 0.067     | 24        | Path found| 0.465     | 24        
90    | Path found| 0.036     | 10        | Path found| 0.180     | 10        
91    | Path found| 0.125     | 51        | Path found| 1.284     | 51        
92    | Path found| 0.110     | 34        | Path found| 0.834     | 34        
93    | Path found| 0.325     | 49        | Path found| 1.012     | 49        
94    | Path found| 0.131     | 35        | Path found| 0.597     | 35        
95    | Path found| 0.297     | 66        | Path found| 2.477     | 66        
96    | Path found| 0.128     | 41        | Path found| 0.862     | 41        
97    | Path found| 0.194     | 48        | Path found| 1.176     | 48        
98    | Path found| 0.174     | 40        | Path found| 0.976     | 40        
99    | Path found| 0.073     | 27        | Path found| 0.583     | 27        
100   | Path found| 0.052     | 16        | Path found| 0.264     | 16        
101   | Path found| 0.283     | 62        | Path found| 2.142     | 62        
102   | Path found| 0.061     | 18        | Path found| 0.332     | 18        
103   | Path found| 0.059     | 18        | Path found| 0.273     | 18        
104   | Path found| 0.071     | 19        | Path found| 0.298     | 19        
105   | Path found| 0.039     | 11        | Path found| 0.186     | 11        
106   | Path found| 0.054     | 18        | Path found| 0.277     | 18        
107   | Path found| 0.156     | 54        | Path found| 1.270     | 54        
108   | Path found| 0.066     | 14        | Path found| 0.229     | 14        
109   | Path found| 0.083     | 32        | Path found| 0.424     | 32        
110   | Path found| 0.140     | 41        | Path found| 0.796     | 41        
111   | Path found| 0.043     | 13        | Path found| 0.191     | 13        
112   | Path found| 0.039     | 12        | Path found| 0.214     | 12        
113   | Path found| 0.191     | 43        | Path found| 0.747     | 43        
