Test  | A*        | A* time   | A* len    | D* Lite   | D* time   | D* len    
831   | Path found| 0.516     | 70        | Path found| 2.756     | 70        
832   | Path found| 0.525     | 84        | Path found| 4.133     | 84        
833   | Path found| 0.290     | 75        | Path found| 3.306     | 75        
834   | Path found| 0.218     | 73        | Path found| 3.019     | 73        
835   | Path found| 0.565     | 74        | Path found| 3.010     | 74        
836   | Path found| 0.353     | 70        | Path found| 2.857     | 70        
837   | Path found| 0.484     | 71        | Path found| 2.920     | 71        
838   | Path found| 0.779     | 77        | Path found| 3.528     | 77        
839   | Path found| 0.579     | 80        | Path found| 3.636     | 80        
840   | Path found| 0.296     | 77        | Path found| 3.418     | 77        
841   | Path found| 0.318     | 72        | Path found| 3.111     | 72        
842   | Path found| 0.491     | 73        | Path found| 3.018     | 73        
843   | Path found| 0.593     | 78        | Path found| 3.668     | 78        
844   | Path found| 0.438     | 70        | Path found| 2.772     | 70        
845   | Path found| 0.248     | 78        | Path found| 3.570     | 78        
846   | Path found| 0.403     | 71        | Path found| 2.948     | 71        
847   | Path found| 0.548     | 79        | Path found| 3.521     | 79        
848   | Path found| 0.318     | 78        | Path found| 3.620     | 78        
849   | Path found| 0.493     | 77        | Path found| 3.493     | 77        
850   | Path found| 0.417     | 72        | Path found| 2.965     | 72        
851   | Path found| 0.592     | 75        | Path found| 2.242     | 75        
852   | Path found| 0.281     | 78        | Path found| 3.430     | 78        
853   | Path found| 0.398     | 72        | Path found| 3.078     | 72        
854   | Path found| 0.324     | 78        | Path found| 3.504     | 78        
855   | Path found| 0.390     | 72        | Path found| 3.035     | 72        
856   | Path found| 0.322     | 81        | Path found| 3.871     | 81        
857   | Path found| 0.502     | 79        | Path found| 3.648     | 79        
858   | Path found| 0.602     | 78        | Path found| 3.342     | 78        
859   | Path found| 0.621     | 73        | Path found| 3.107     | 73        
860   | Path found| 0.366     | 72        | Path found| 2.928     | 72        
861   | Path found| 0.259     | 72        | Path found| 3.004     | 72        
862   | Path found| 0.260     | 74        | Path found| 3.292     | 74        
863   | Path found| 0.665     | 73        | Path found| 3.026     | 73        
864   | Path found| 0.345     | 70        | Path found| 2.895     | 70        
865   | Path found| 0.733     | 74        | Path found| 3.050     | 74        
866   | Path found| 0.430     | 77        | Path found| 3.405     | 77        
867   | Path found| 0.590     | 74        | Path found| 3.278     | 74        
868   | Path found| 0.262     | 71        | Path found| 2.826     | 71        
869   | Path found| 0.341     | 73        | Path found| 3.069     | 73        
870   | Path found| 0.532     | 70        | Path found| 2.739     | 70        
871   | Path found| 0.566     | 71        | Path found| 2.931     | 71        
872   | Path found| 0.288     | 76        | Path found| 3.350     | 76        
873   | Path found| 0.261     | 75        | Path found| 3.278     | 75        
874   | Path found| 0.705     | 71        | Path found| 3.039     | 71        
875   | Path found| 0.513     | 73        | Path found| 3.162     | 73        
876   | Path found| 0.239     | 75        | Path found| 3.401     | 75        
877   | Path found| 0.491     | 77        | Path found| 3.230     | 77        
878   | Path found| 0.521     | 76        | Path found| 3.527     | 76        
879   | Path found| 0.515     | 76        | Path found| 3.369     | 76        
880   | Path found| 0.551     | 73        | Path found| 2.910     | 73        
881   | Path found| 0.937     | 83        | Path found| 3.848     | 83        
882   | Path found| 0.477     | 75        | Path found| 3.181     | 75        
883   | Path found| 0.555     | 74        | Path found| 3.172     | 74        
884   | Path found| 0.302     | 75        | Path found| 3.148     | 75        
885   | Path found| 0.524     | 75        | Path found| 3.345     | 75        
886   | Path found| 0.752     | 73        | Path found| 2.932     | 73        
887   | Path found| 0.269     | 74        | Path found| 3.084     | 74        
888   | Path found| 0.342     | 70        | Path found| 2.774     | 70        
889   | Path found| 0.256     | 76        | Path found| 3.413     | 76        
890   | Path found| 0.289     | 77        | Path found| 3.415     | 77        
891   | Path found| 0.562     | 76        | Path found| 3.350     | 76        
