Test  | A*        | A* time   | A* len    | D* Lite   | D* time   | D* len    
---------------------------------------------------------------------------------
1     | Path found| 0.411     | 44        | Path found| 2.839     | 44        
2     | Path found| 0.418     | 44        | Path found| 3.096     | 44        
3     | Path found| 0.240     | 44        | Path found| 1.121     | 44        
4     | Path found| 0.319     | 37        | Path found| 1.823     | 37        
5     | Path found| 0.592     | 47        | Path found| 2.015     | 47        
6     | Path found| 0.525     | 51        | Path found| 2.693     | 51        
7     | Path found| 0.155     | 30        | Path found| 0.656     | 30        
8     | Path found| 0.202     | 36        | Path found| 1.674     | 36        
9     | Path found| 0.228     | 36        | Path found| 1.340     | 36        
10    | Path found| 0.150     | 31        | Path found| 0.839     | 31        
11    | Path found| 0.156     | 40        | Path found| 1.099     | 40        
12    | Path found| 0.169     | 46        | Path found| 1.343     | 46        
13    | Path found| 0.133     | 38        | Path found| 0.636     | 38        
14    | Path found| 0.151     | 40        | Path found| 0.776     | 40        
15    | Path found| 0.298     | 64        | Path found| 2.409     | 64        
16    | Path found| 0.192     | 43        | Path found| 0.501     | 43        
17    | Path found| 0.203     | 49        | Path found| 0.773     | 49        
18    | Path found| 0.121     | 37        | Path found| 0.771     | 37        
19    | Path found| 0.140     | 36        | Path found| 0.698     | 36        
20    | Path found| 0.150     | 47        | Path found| 1.374     | 47        
21    | Path found| 0.102     | 40        | Path found| 1.061     | 40        
22    | Path found| 0.142     | 47        | Path found| 1.167     | 47        
23    | Path found| 0.139     | 36        | Path found| 0.680     | 36        
24    | Path found| 0.112     | 32        | Path found| 0.591     | 32        
25    | Path found| 0.083     | 31        | Path found| 0.677     | 31        
26    | Path found| 0.172     | 40        | Path found| 0.890     | 40        
27    | Path found| 0.136     | 44        | Path found| 0.808     | 44        
28    | Path found| 0.150     | 42        | Path found| 0.569     | 42        
29    | Path found| 0.096     | 37        | Path found| 0.528     | 37        
30    | Path found| 0.196     | 39        | Path found| 0.958     | 39        
31    | Path found| 0.141     | 32        | Path found| 0.607     | 32        
32    | Path found| 0.229     | 50        | Path found| 1.374     | 50        
33    | Path found| 0.134     | 36        | Path found| 0.738     | 36        
34    | Path found| 0.155     | 52        | Path found| 1.255     | 52        
35    | Path found| 0.046     | 36        | Path found| 0.215     | 36        
36    | Path found| 0.247     | 50        | Path found| 1.325     | 50        
37    | Path found| 0.239     | 43        | Path found| 0.477     | 43        
38    | Path found| 0.143     | 53        | Path found| 1.534     | 53        
39    | Path found| 0.252     | 66        | Path found| 2.622     | 66        
40    | Path found| 0.181     | 49        | Path found| 1.463     | 49        
41    | Path found| 0.236     | 42        | Path found| 1.098     | 42        
42    | Path found| 0.084     | 38        | Path found| 0.877     | 38        
43    | Path found| 0.390     | 68        | Path found| 2.606     | 68        
44    | Path found| 0.242     | 42        | Path found| 0.983     | 42        
45    | Path found| 0.124     | 37        | Path found| 0.938     | 37        
46    | Path found| 0.129     | 41        | Path found| 0.758     | 41        
47    | Path found| 0.159     | 46        | Path found| 1.060     | 46        
48    | Path found| 0.135     | 41        | Path found| 0.930     | 41        
49    | Path found| 0.235     | 54        | Path found| 1.688     | 54        
50    | Path found| 0.368     | 53        | Path found| 1.459     | 53        
51    | Path found| 0.103     | 32        | Path found| 0.433     | 32        
52    | Path found| 0.089     | 39        | Path found| 0.446     | 39        
53    | Path found| 0.351     | 52        | Path found| 1.477     | 52        
54    | Path found| 0.122     | 43        | Path found| 0.947     | 43        
55    | Path found| 0.143     | 36        | Path found| 0.917     | 36        
56    | Path found| 0.131     | 47        | Path found| 0.987     | 47        
57    | Path found| 0.101     | 33        | Path found| 0.512     | 33        
58    | Path found| 0.139     | 49        | Path found| 1.348     | 49        
59    | Path found| 0.285     | 57        | Path found| 1.392     | 57        
60    | Path found| 0.127     | 39        | Path found| 0.533     | 39        
61    | Path found| 0.110     | 32        | Path found| 0.665     | 32        
62    | Path found| 0.131     | 41        | Path found| 0.973     | 41        
63    | Path found| 0.150     | 48        | Path found| 1.257     | 48        
64    | Path found| 0.259     | 46        | Path found| 0.668     | 46        
65    | Path found| 0.122     | 39        | Path found| 0.720     | 39        
66    | Path found| 0.107     | 38        | Path found| 0.682     | 38        
67    | Path found| 0.224     | 57        | Path found| 1.513     | 57        
68    | Path found| 0.162     | 56        | Path found| 1.804     | 56        
69    | Path found| 0.271     | 62        | Path found| 2.237     | 62        
70    | Path found| 0.176     | 42        | Path found| 0.661     | 42        
71    | Path found| 0.410     | 58        | Path found| 1.958     | 58        
72    | Path found| 0.276     | 43        | Path found| 0.953     | 43        
73    | Path found| 0.157     | 46        | Path found| 1.256     | 46        
74    | Path found| 0.133     | 38        | Path found| 0.416     | 38        
75    | Path found| 0.072     | 30        | Path found| 0.320     | 30        
76    | Path found| 0.148     | 45        | Path found| 1.285     | 45        
77    | Path found| 0.146     | 36        | Path found| 0.834     | 36        
78    | Path found| 0.175     | 47        | Path found| 1.319     | 47        
79    | Path found| 0.180     | 53        | Path found| 0.987     | 53        
80    | Path found| 0.268     | 52        | Path found| 0.783     | 52        
81    | Path found| 0.176     | 53        | Path found| 1.583     | 53        
82    | Path found| 0.366     | 53        | Path found| 1.592     | 53        
83    | Path found| 0.043     | 30        | Path found| 0.187     | 30        
84    | Path found| 0.410     | 69        | Path found| 2.552     | 69        
85    | Path found| 0.237     | 55        | Path found| 1.717     | 55        
86    | Path found| 0.108     | 37        | Path found| 0.514     | 37        
87    | Path found| 0.042     | 31        | Path found| 0.184     | 31        
88    | Path found| 0.067     | 32        | Path found| 0.373     | 32        
89    | Path found| 0.170     | 39        | Path found| 0.684     | 39        
90    | Path found| 0.134     | 40        | Path found| 0.823     | 40        
91    | Path found| 0.112     | 34        | Path found| 0.720     | 34        
92    | Path found| 0.158     | 49        | Path found| 1.312     | 49        
93    | Path found| 0.272     | 66        | Path found| 2.474     | 66        
94    | Path found| 0.244     | 59        | Path found| 2.016     | 59        
95    | Path found| 0.072     | 37        | Path found| 0.717     | 37        
96    | Path found| 0.101     | 37        | Path found| 0.528     | 37        
97    | Path found| 0.124     | 36        | Path found| 0.719     | 36        
98    | Path found| 0.170     | 51        | Path found| 1.145     | 51        
99    | Path found| 0.222     | 42        | Path found| 0.794     | 42        
100   | Path found| 0.097     | 33        | Path found| 0.323     | 33        
101   | Path found| 0.073     | 31        | Path found| 0.322     | 31        
102   | Path found| 0.247     | 43        | Path found| 1.078     | 43        
103   | Path found| 0.228     | 50        | Path found| 1.479     | 50        
104   | Path found| 0.130     | 36        | Path found| 0.708     | 36        
